time,x,y
1506456463.314,0.10087899019708857,0.09145398996770382
1506456463.484,0.11464899632846937,0.10607399605214596
1506456463.655,0.12849999667378142,0.12077999673783779
1506456463.826,0.14235099696088582,0.13548599649220705
1506456463.997,0.15620199730619788,0.15019199717789888
1506456464.167,0.15694599912967533,0.16247400268912315
1506456464.337,0.15745599864749238,0.17471399158239365
1506456464.511,0.15797799872234464,0.18724199291318655
1506456464.681,0.15848799893865362,0.19948199857026339
1506456464.852,0.15900099894497544,0.2117939991876483
1506456465.036,0.16110099956858903,0.22511400002986193
1506456465.207,0.16896699974313378,0.23776800092309713
1506456465.378,0.17683299991767853,0.25042200088500977
1506456465.547,0.18460699578281492,0.26292799413204193
1506456465.722,0.19265699363313615,0.27587799075990915
1506456465.894,0.20056900143390521,0.2886060029268265
1506456466.097,0.20622099802130833,0.30333699099719524
1506456466.27,0.20760499883908778,0.3156199976801872
1506456466.44,0.20896499941591173,0.32769000343978405
1506456466.61,0.21032499813009053,0.33975999150425196
1506456466.785,0.2117249996517785,0.35218500532209873
1506456466.955,0.2130849983659573,0.36425499338656664
1506456467.155,0.2185599980293773,0.3755099978297949
1506456467.324,0.22413699503522366,0.3842979930341244
1506456467.498,0.2298789958585985,0.39334599394351244
1506456467.667,0.23545600078068674,0.402134002186358
1506456467.838,0.2410990009084344,0.4110260019078851
1506456468.022,0.24721500155283138,0.42072600312530994
1506456468.195,0.2532699966104701,0.4307599952444434
1506456468.366,0.2592549967812374,0.4406779957935214
1506456468.566,0.2662549984524958,0.45227799843996763
1506456468.739,0.27231000183383003,0.46231200359761715
1506456468.908,0.27822499873582274,0.47211399860680103
1506456469.098,0.3021230094600469,0.48068400099873543
1506456469.272,0.3388370146858506,0.48642600141465664
1506456469.441,0.3744959957548417,0.49200299847871065
1506456469.614,0.41099901631241664,0.49771200213581324
1506456469.788,0.44771302153822035,0.5034540025517344
1506456469.958,0.4835829873336479,0.5090639973059297
1506456470.141,0.5333350083674304,0.5148210003972054
1506456470.312,0.5829250094830059,0.5201220000162721
1506456470.483,0.6325150105985813,0.5254230005666614
1506456470.653,0.6818150327308103,0.5306930029764771
1506456470.853,0.7398149773944169,0.5368929971009493
1506456471.044,0.797052969224751,0.5413619996979833
1506456471.215,0.8538249704870395,0.541019999422133
1506456471.386,0.9105969717493281,0.5406779991462827
1506456471.591,0.9786570255528204,0.5402679992839694
1506456471.763,1.0357610027422197,0.5399239994585514
1506456471.933,1.0922010280773975,0.5395839987322688
1506456472.134,1.1592010199674405,0.5362339979037642
1506456472.317,1.2203229696606286,0.5318420007824898
1506456472.491,1.2784389779553749,0.527666000649333
1506456472.712,1.3522529632900842,0.5223620012402534
1506456472.901,1.4153790066484362,0.5178259983658791
1506456473.078,1.4759010231355205,0.5115499952808022
1506456473.247,1.5353889915859327,0.5031000003218651
1506456473.42,1.5962850258219987,0.49444999545812607
1506456473.589,1.6557729942724109,0.4859999995678663
1506456473.759,1.7156130211078562,0.4774999963119626
1506456473.944,1.7807330009527504,0.46824999898672104
