time,x,y,z,qx,qy,qz,qw
1780297178.4262516,0.010478792629486327,-0.009596645598235361,0.0,0.0,0.0,-0.006506118564791337,0.9999788349866315
1780297178.6310217,0.022653583336232967,-0.020746513923566252,0.0,0.0,0.0,-0.009160989304421932,0.9999580372570462
1780297178.7945104,0.03319295713111409,-0.030398640153824374,0.0,0.0,0.0,-0.010071354682575912,0.9999492826213027
1780297178.9719381,0.04349004962235849,-0.039828882378037625,0.0,0.0,0.0,-0.010960784337086004,0.9999399287990833
1780297179.164201,0.05566484027089922,-0.05097875070291654,0.0,0.0,0.0,-0.012012392260142484,0.999927848613183
1780297179.362385,0.06904946691374705,-0.06511710689666228,0.0,0.0,0.0,-0.01292272897265176,0.999916498051662
1780297179.5172005,0.08270551963440793,-0.0798435709241936,0.0,0.0,0.0,-0.013222482617265212,0.999912579155516
1780297179.6849864,0.09636159140392728,-0.09457005558935135,0.0,0.0,0.0,-0.011590096939053413,0.9999328325707398
1780297179.8715997,0.1100979872276221,-0.10938316115530818,0.0,0.0,0.0,-0.009948078539275804,0.9999505166423869
1780297180.0243886,0.1238343830003424,-0.12419626578951856,0.0,0.0,0.0,-0.00830603331413505,0.999965504310316
1780297180.1943343,0.1375707788240372,-0.13900937135547542,0.0,0.0,0.0,-0.006663965691466559,0.9999777955341124
1780297180.3714004,0.13821939272021697,-0.15129678353643378,0.0,0.0,0.0,-0.005031482286344079,0.9999873420128887
1780297180.5345995,0.13863433760923932,-0.16354036341956568,0.0,0.0,0.0,-0.005161060420068424,0.9999866816389809
1780297180.7295907,0.1390590463771765,-0.17607204023812956,0.0,0.0,0.0,-0.008346845305477043,0.9999651644799664
1780297180.89289,0.1394739918345046,-0.18831563688998598,0.0,0.0,0.0,-0.011459313130359833,0.9999343399156669
1780297181.0517395,0.13989137797560067,-0.20063124962416176,0.0,0.0,0.0,-0.016034950493505257,0.9998714319164594
1780297181.24407,0.14188789012227832,-0.21396715470420474,0.0,0.0,0.0,-0.01940337401920436,0.9998117368168223
1780297181.4045944,0.14965539925958554,-0.22668185089223,0.0,0.0,0.0,-0.022533614281793967,0.9997460858775089
1780297181.583495,0.1574229084041241,-0.23939654614896075,0.0,0.0,0.0,-0.019732788205428398,0.9998052895787458
1780297181.7503276,0.16509956523339778,-0.25196252477107917,0.0,0.0,0.0,-0.013115889458442566,0.9999139830223968
